src,trg
data/synth3d/train/cube-source1_seg.nii.gz,data/synth3d/train/cube-target1_seg.nii.gz
data/synth3d/train/cube-source10_seg.nii.gz,data/synth3d/train/cube-target10_seg.nii.gz
data/synth3d/train/cube-source100_seg.nii.gz,data/synth3d/train/cube-target100_seg.nii.gz
data/synth3d/train/cube-source11_seg.nii.gz,data/synth3d/train/cube-target11_seg.nii.gz
data/synth3d/train/cube-source12_seg.nii.gz,data/synth3d/train/cube-target12_seg.nii.gz
data/synth3d/train/cube-source13_seg.nii.gz,data/synth3d/train/cube-target13_seg.nii.gz
data/synth3d/train/cube-source14_seg.nii.gz,data/synth3d/train/cube-target14_seg.nii.gz
data/synth3d/train/cube-source15_seg.nii.gz,data/synth3d/train/cube-target15_seg.nii.gz
data/synth3d/train/cube-source16_seg.nii.gz,data/synth3d/train/cube-target16_seg.nii.gz
data/synth3d/train/cube-source17_seg.nii.gz,data/synth3d/train/cube-target17_seg.nii.gz
data/synth3d/train/cube-source18_seg.nii.gz,data/synth3d/train/cube-target18_seg.nii.gz
data/synth3d/train/cube-source19_seg.nii.gz,data/synth3d/train/cube-target19_seg.nii.gz
data/synth3d/train/cube-source2_seg.nii.gz,data/synth3d/train/cube-target2_seg.nii.gz
data/synth3d/train/cube-source20_seg.nii.gz,data/synth3d/train/cube-target20_seg.nii.gz
data/synth3d/train/cube-source21_seg.nii.gz,data/synth3d/train/cube-target21_seg.nii.gz
data/synth3d/train/cube-source22_seg.nii.gz,data/synth3d/train/cube-target22_seg.nii.gz
data/synth3d/train/cube-source23_seg.nii.gz,data/synth3d/train/cube-target23_seg.nii.gz
data/synth3d/train/cube-source24_seg.nii.gz,data/synth3d/train/cube-target24_seg.nii.gz
data/synth3d/train/cube-source25_seg.nii.gz,data/synth3d/train/cube-target25_seg.nii.gz
data/synth3d/train/cube-source26_seg.nii.gz,data/synth3d/train/cube-target26_seg.nii.gz
data/synth3d/train/cube-source27_seg.nii.gz,data/synth3d/train/cube-target27_seg.nii.gz
data/synth3d/train/cube-source28_seg.nii.gz,data/synth3d/train/cube-target28_seg.nii.gz
